playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
collish01,1910,1925,1687,22,709,NULL,NULL,NULL,NULL,NULL,0
combsea01,1924,1935,1866,58,632,NULL,NULL,NULL,NULL,1,1
comisch01,1882,1894,1530,29,883,1,13,3,6,NULL,0
conceda01,1970,1988,2326,101,950,0,2,0,1,11,0
coneda01,1986,2003,64,0,22,419,2504,1137,2668,3,0
coninje01,1990,2007,1982,214,1071,NULL,NULL,NULL,NULL,1,0
connoro01,1880,1897,2467,138,1322,NULL,NULL,NULL,NULL,NULL,1
conrowi01,1901,1911,1257,22,452,NULL,NULL,NULL,NULL,NULL,0
coombja01,1906,1920,261,4,100,270,2034,841,1052,3,0
coopean99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
coopece01,1971,1987,2192,241,1125,NULL,NULL,NULL,NULL,10,0
coopemo01,1938,1949,127,6,68,239,1666,571,913,11,0
coopewa01,1940,1957,1341,173,812,NULL,NULL,NULL,NULL,6,0
coopewi01,1912,1926,293,6,106,408,3415,853,1252,5,0
courtcl01,1951,1961,750,38,313,NULL,NULL,NULL,NULL,NULL,0
covelst01,1912,1928,168,1,81,385,3055,802,981,3,1
coxbi02,1941,1955,974,66,351,NULL,NULL,NULL,NULL,NULL,0
cramedo01,1929,1948,2705,37,842,0,3,3,1,2,0
crandde01,1949,1966,1276,179,657,NULL,NULL,NULL,NULL,7,0
cranddo01,1908,1918,253,9,126,134,1538,379,606,NULL,0
cravaga01,1908,1920,1134,119,719,NULL,NULL,NULL,NULL,2,0
crawfsa01,1899,1917,2961,97,1525,NULL,NULL,NULL,NULL,5,1
crigelo01,1896,1912,709,11,342,NULL,NULL,NULL,NULL,1,0
critzhu01,1924,1935,1591,38,531,NULL,NULL,NULL,NULL,NULL,0
cronijo01,1926,1945,2285,170,1424,NULL,NULL,NULL,NULL,20,1
crosefr01,1932,1948,1541,98,649,NULL,NULL,NULL,NULL,NULL,0
crossla01,1887,1907,2645,47,1371,NULL,NULL,NULL,NULL,NULL,0
crowdal01,1926,1936,164,0,59,292,2453,800,799,5,0
crowlte01,1969,1983,379,42,229,NULL,NULL,NULL,NULL,NULL,0
cruiswa01,1914,1924,644,30,272,NULL,NULL,NULL,NULL,NULL,0
cruzjo01,1970,1988,2251,165,1077,NULL,NULL,NULL,NULL,3,0
cuccito01,1930,1945,1729,94,884,NULL,NULL,NULL,NULL,1,0
cuellmi01,1959,1977,76,7,33,379,2538,822,1632,3,0
culpra01,1963,1973,74,1,34,268,1677,752,1411,NULL,0
cummica01,1872,1877,227,0,107,241,2507,117,130,NULL,0
cuyleki01,1921,1938,2299,128,1065,NULL,NULL,NULL,NULL,9,1
dahlebi01,1891,1911,2457,84,1233,NULL,NULL,NULL,NULL,NULL,0
dandrra99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
danniha01,1933,1942,847,57,397,NULL,NULL,NULL,NULL,5,0
darkal01,1946,1960,2089,126,757,1,1,1,0,4,0
darliro01,1983,1995,76,2,21,364,2244,906,1590,1,0
darwida01,1978,1998,39,2,22,371,2951,874,1942,NULL,0
daubeja01,1910,1924,2326,56,722,NULL,NULL,NULL,NULL,13,0
dauerri01,1976,1985,984,43,372,NULL,NULL,NULL,NULL,NULL,0
daultda01,1983,1997,891,137,588,NULL,NULL,NULL,NULL,2,0
davalvi01,1963,1980,1122,36,329,0,2,2,0,1,0
davisch01,1981,1999,2380,350,1372,0,0,0,0,NULL,0
daviscu01,1934,1946,165,11,81,281,2459,479,684,2,0
daviser01,1984,2001,1430,282,934,NULL,NULL,NULL,NULL,9,0
davisge01,1890,1909,2660,73,1437,0,8,3,4,NULL,1
davisha01,1895,1917,1841,75,951,NULL,NULL,NULL,NULL,NULL,0
davisma01,1980,1997,26,1,9,85,1068,534,1007,5,0
davissp01,1928,1945,1312,77,647,NULL,NULL,NULL,NULL,NULL,0
davisto02,1959,1976,2121,153,1052,NULL,NULL,NULL,NULL,3,0
dawsoan01,1976,1996,2774,438,1591,NULL,NULL,NULL,NULL,20,1
dayle99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
deandi01,1930,1947,161,8,76,230,1919,453,1163,14,1
decindo01,1973,1987,1505,237,879,NULL,NULL,NULL,NULL,2,0
delahed01,1888,1903,2596,101,1464,NULL,NULL,NULL,NULL,NULL,1
delgaca01,1993,2009,2038,473,1512,NULL,NULL,NULL,NULL,8,0
dempsri01,1969,1992,1093,96,471,0,3,1,0,2,0
dennyje01,1881,1894,1286,74,667,0,5,4,1,NULL,0
dennyjo01,1974,1986,97,0,29,322,2093,778,1146,3,0
dentbu01,1973,1984,1114,40,423,NULL,NULL,NULL,NULL,2,0
derripa01,1931,1945,220,2,102,445,3912,761,1507,9,0
deshaji01,1984,1995,33,0,12,253,1434,575,951,NULL,0
dickebi01,1928,1946,1969,202,1209,NULL,NULL,NULL,NULL,20,1
dierkla01,1964,1977,107,4,46,329,2130,711,1493,NULL,0
dihigma99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
dimagdo01,1940,1953,1680,87,618,NULL,NULL,NULL,NULL,2,0
dimagjo01,1936,1951,2214,361,1537,NULL,NULL,NULL,NULL,36,1
dinnebi01,1898,1909,219,1,60,352,2957,829,1127,NULL,0
disarga01,1989,2000,966,28,355,NULL,NULL,NULL,NULL,NULL,0
doakbi01,1912,1929,115,1,30,368,2676,851,1014,NULL,0
dobsopa01,1967,1977,39,0,12,279,2043,665,1301,NULL,0
dobyla01,1947,1959,1515,253,970,NULL,NULL,NULL,NULL,1,1
doerrbo01,1937,1951,2042,223,1247,NULL,NULL,NULL,NULL,8,1
donlimi01,1899,1914,1282,51,543,1,16,14,6,3,0
donovbi01,1898,1918,251,7,93,327,2631,1059,1552,1,0
dooinre01,1902,1916,961,10,344,NULL,NULL,NULL,NULL,2,0
downial01,1961,1977,91,2,51,317,1946,933,1639,NULL,0
downibr01,1973,1992,2099,275,1073,NULL,NULL,NULL,NULL,NULL,0
doyleja01,1889,1905,1806,26,968,NULL,NULL,NULL,NULL,NULL,0
doylela01,1907,1920,1887,74,793,NULL,NULL,NULL,NULL,3,0
drabedo01,1986,1998,119,2,46,387,2448,704,1594,3,0
drewj.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
dropowa01,1949,1961,1113,152,704,NULL,NULL,NULL,NULL,3,0
drysddo01,1956,1969,218,29,113,465,3084,855,2486,4,1
duffyhu01,1888,1906,2282,106,1302,NULL,NULL,NULL,NULL,1,1
duganjo01,1917,1931,1516,42,571,NULL,NULL,NULL,NULL,5,0
dunlafr01,1880,1891,1159,41,366,0,6,0,2,NULL,0
dunnja01,1897,1904,397,1,164,118,1217,334,171,NULL,0
dunstsh01,1985,2002,1597,150,668,NULL,NULL,NULL,NULL,1,0
durhara01,1995,2008,2054,192,875,NULL,NULL,NULL,NULL,NULL,0
durocle01,1925,1945,1320,24,567,NULL,NULL,NULL,NULL,NULL,0
dyeje01,1996,2009,1779,325,1072,NULL,NULL,NULL,NULL,5,0
dyered01,1922,1927,35,2,13,23,316,96,63,NULL,0
dykesji01,1918,1939,2256,108,1071,0,2,1,0,1,0
dykstle01,1985,1996,1298,81,404,NULL,NULL,NULL,NULL,2,0
earnsge01,1928,1936,162,3,70,249,1981,809,1002,6,0
eckerde01,1975,1998,24,3,12,361,3076,738,2401,9,1
eckstda01,2001,2010,1414,35,392,NULL,NULL,NULL,NULL,2,0
edmonji01,1993,2010,1949,393,1199,NULL,NULL,NULL,NULL,11,0
edwarha01,1941,1953,613,51,276,NULL,NULL,NULL,NULL,NULL,0
edwarjo01,1961,1974,1106,81,524,NULL,NULL,NULL,NULL,3,0
ehmkeho01,1915,1930,210,0,73,339,2873,1042,1030,1,0
eisenji01,1982,1998,1160,52,477,NULL,NULL,NULL,NULL,NULL,0
elberki01,1898,1914,1235,10,535,NULL,NULL,NULL,NULL,NULL,0
elliobo01,1939,1953,2061,170,1195,NULL,NULL,NULL,NULL,8,0
ellioju01,1923,1934,68,4,37,144,1338,414,453,NULL,0
ellisdo01,1968,1979,65,0,23,317,2067,674,1136,NULL,0
ennisde01,1946,1959,2063,288,1284,NULL,NULL,NULL,NULL,1,0
ensje01,1922,1925,54,1,24,NULL,NULL,NULL,NULL,NULL,0
erskica01,1948,1959,92,1,31,216,1637,646,981,NULL,0
erstada01,1996,2009,1697,124,699,NULL,NULL,NULL,NULL,5,0
evansda01,1969,1989,2223,414,1354,NULL,NULL,NULL,NULL,1,0
evansdw01,1972,1991,2446,385,1384,NULL,NULL,NULL,NULL,13,0
eversjo01,1902,1929,1659,12,538,NULL,NULL,NULL,NULL,7,1
ewingbu01,1880,1897,1625,71,883,4,55,23,23,NULL,1
faberre01,1914,1933,170,3,70,483,4106,1213,1471,2,1
facero01,1953,1969,31,0,7,27,1347,362,877,1,0
fairlro01,1958,1978,1913,215,1044,NULL,NULL,NULL,NULL,NULL,0
falkecy01,1903,1917,117,1,47,266,2090,690,1164,1,0
fellebo01,1936,1956,193,8,99,484,3271,1764,2581,18,1
fergujo01,1970,1983,719,122,445,NULL,NULL,NULL,NULL,NULL,0
fernaal01,1990,2000,22,3,14,261,1693,552,1252,NULL,0
fernasi01,1983,1997,98,1,34,300,1421,715,1743,NULL,0
fernato01,1983,2001,2276,94,844,NULL,NULL,NULL,NULL,5,0
ferreri01,1929,1947,1692,28,734,NULL,NULL,NULL,NULL,NULL,1
ferrewe01,1927,1941,329,38,208,323,2845,1040,985,10,0
fieldce01,1985,1998,1313,319,1008,NULL,NULL,NULL,NULL,6,0
fingero01,1968,1985,31,2,9,37,1474,492,1299,11,1
finlech01,1986,2002,3,0,1,467,3069,1332,2610,2,0
finlest01,1989,2007,2548,304,1167,0,0,1,0,5,0
fisheed02,1959,1973,30,0,8,63,1398,438,812,1,0
fiskca01,1969,1993,2356,376,1330,NULL,NULL,NULL,NULL,10,1
fitzsfr01,1925,1943,231,14,103,426,3335,846,870,1,0
flanami01,1975,1992,0,0,0,404,2806,890,1491,3,0
fletcar01,1909,1922,1534,32,675,NULL,NULL,NULL,NULL,NULL,0
flickel01,1898,1910,1752,48,756,NULL,NULL,NULL,NULL,NULL,1
flintsi01,1875,1889,687,21,295,NULL,NULL,NULL,NULL,NULL,0
floodcu01,1956,1971,1861,85,636,NULL,NULL,NULL,NULL,8,0
floydcl01,1993,2009,1479,233,865,NULL,NULL,NULL,NULL,NULL,0
fonsele01,1921,1933,1075,31,485,0,0,0,0,1,0
fordwh01,1950,1967,177,3,69,438,2766,1086,1956,10,1
forscbo01,1974,1989,190,12,84,422,2777,832,1133,2,0
forscke01,1970,1986,52,0,17,241,2071,586,1047,NULL,0
